101	linux	Ubuntu에서 숨김 파일까지 표시하는 ls 옵션은?	A)-l B)-h C)-a D)-R	C
102	linux	pwd 명령의 역할은?	A) 권한 변경 B) 현재 경로 출력 C) 파일 삭제 D) 프로세스 보기	B
103	linux	현재 디렉토리에 test.txt가 없을 때 0바이트 파일을 만드는 명령은?	A) touch test.txt B) cat > test.txt C) mkdir test.txt D) echo test.txt	A
104	linux	rm -rf 명령의 의미로 올바른 것은?	A) 파일 복구 B) 강제 재부팅 C) 강제 재귀 삭제 D) 읽기 전용	C
105	linux	현재 디렉토리에 있는 파일을 자세히 표시하는 명령은?	A) ls -al B) ls C) ll -h D) dir -a	A
106	linux	파일 시스템 사용량을 사람이 읽기 좋은 단위로 출력하는 명령은?	A) df -h B) du -b C) free -m D) top -H	A
107	linux	시스템 프로세스를 실시간으로 보는 명령은?	A) ps B) top C) kill D) jobs	B
108	linux	환경변수 HOME 값을 출력하는 올바른 방법은?	A) HOME B) $HOME C) echo HOME D) $ echo HOME	B
109	linux	현재 사용자 ID와 그룹을 확인하는 명령은?	A) id B) groups C) whoami D) useradd	A
110	linux	파일 내용에서 문자열을 검색하는 명령은?	A) find B) awk C) grep D) sed	C
111	shell	Bash에서 스크립트의 비상 중단을 위해 set -e의 의미는?	A) verbose B) 에러 시 종료 C) 포그라운드만 실행 D) PATH 출력	B
112	shell	crontab에서 매일 7시 30분에 실행하려면?	A) 30 7 * * * B) 7 30 * * * C) 30 * 7 * * D) * * 7 30 *	A
113	shell	cron에서 하루 3회 7:30,12:30,22:30은?	A) */3 * * * * B) 30 7,12,22 * * * C) 0 */3 * * * D) 30 3,6,9 * * *	B
114	shell	표준출력과 표준에러를 같은 파일에 저장하려면?	A) >file 2>&1 B) 2>file C) >>file D) < file	A
115	shell	awk에서 필드 구분자로 탭을 쓰려면?	A) FS=" " B) FS="," C) FS="\t" D) FS="|"	C
116	git	Git에서 현재 브랜치와 상태를 요약 보는 명령은?	A) git log B) git status C) git branch D) git diff	B
117	git	원격 저장소를 추가하는 명령은?	A) git add origin B) git remote add origin C) git push origin D) git clone origin	B
118	git	스테이징된 변경을 커밋하는 명령은?	A) git stage B) git commit -m "msg" C) git add . -m D) git stash	B
119	network	SSH 기본 포트는?	A) 20 B) 21 C) 22 D) 23	C
120	network	로컬 루프백 주소는?	A) 0.0.0.0 B) 127.0.0.1 C) 255.255.255.255 D) 224.0.0.1	B
121	network	ip addr에서 인터페이스 상태가 UP을 나타내는 키워드?	A) DOWN B) UNKNOWN C) LOWER_UP D) UP	D
122	cs	LRU는 무엇의 교체 정책인가?	A) CPU 스케줄링 B) 페이지 교체 C) 디스크 배치 D) 네트워크 라우팅	B
123	cs	프로세스 생성 시 부모-자식 복제에 관련된 시스템 콜은?	A) exec B) fork C) exit D) waitpid	B
124	cs	뮤텍스의 목적은?	A) 네트워크 가속 B) 파일 압축 C) 임계구역 상호배제 D) GUI 렌더링	C
125	aws	AWS EC2에 대한 올바른 설명은?	A) 객체 스토리지 B) 가상 서버 인스턴스 C) 메시지 큐 D) NoSQL DB	B
126	aws	S3의 특징으로 맞는 것은?	A) 블록 스토리지 B) 파일 스토리지 C) 객체 스토리지 D) 캐시	C
127	aws	EKS는 무엇의 관리형 서비스인가?	A) Docker Swarm B) Kubernetes C) Mesos D) Nomad	B
128	vmware	ESXi는 무엇인가?	A) 하이퍼바이저 B) 로그수집기 C) 방화벽 D) 데이터베이스	A
129	vmware	vCenter의 주요 역할은?	A) 호스트 OS B) 중앙 관리(클러스터/VM) C) 백업 툴 D) IDS	B
130	vmware	vSAN의 스토리지 유형은?	A) 객체 스토리지 B) 파일 스토리지 C) 테이프 D) CD-ROM	A
131	vmware	FTT(Failures To Tolerate) 1의 의미는?	A) 무가용 B) 1개 장애 허용 복제 C) 백업 주기 1일 D) RAID0	B
132	vmware	스플릿 브레인 방지와 관련된 개념은?	A) 세마포어 B) 쿼럼/위트니스 C) TLB D) NUMA	B
133	k8s	Kubernetes에서 Pod를 배포하는 기본 단위는?	A) Deployment B) Service C) ConfigMap D) Ingress	A
134	k8s	Service의 ClusterIP 목적은?	A) 외부 공개 B) 내부 가상 IP 트래픽 라우팅 C) 로컬호스트만 D) 스토리지	B
135	k8s	ConfigMap의 용도는?	A) 바이너리 보관 B) 설정값/텍스트 보관 C) 비밀키 보관 D) 로그 수집	B
136	docker	Dockerfile에서 베이스 이미지를 지정하는 지시어는?	A) RUN B) FROM C) COPY D) ENTRYPOINT	B
137	docker	컨테이너 목록을 보는 명령은?	A) docker ps B) docker images C) docker run D) docker logs	A
138	docker	이미지 삭제 명령은?	A) docker rmi B) docker rm C) docker stop D) docker prune	A
139	linux	systemctl로 서비스 재시작 명령은?	A) systemctl start B) systemctl stop C) systemctl restart D) service start	C
140	linux	Ubuntu에서 패키지 설치 명령은?	A) yum install B) apt install C) dnf install D) pacman -S	B
141	linux	시스템 타임존 확인 명령은?	A) date -T B) timedatectl status C) timectl -z D) tzstat	B
142	linux	swap을 비활성화하는 명령은?	A) swapon -a B) swapoff --all C) free -s B D) sysctl -w swap=0	B
143	linux	파일의 권한을 바꾸는 명령은?	A) chmod B) chown C) chgrp D) umask	A
144	linux	파일의 소유자와 그룹을 바꾸는 명령은?	A) chmod B) chown C) ln D) tee	B
145	shell	표준출력을 파일에 덮어쓰는 리다이렉션은?	A) >> B) > C) 2> D) <	B
146	shell	Bash에서 엄격 모드 일부로 권장되는 조합은?	A) set -euo pipefail B) set +x C) set -e +o noglob D) shopt -s nullglob	A
147	git	원격 최신 변경을 병합 없이 가져오는 명령은?	A) git pull --rebase B) git fetch C) git reset --hard D) git revert	B
148	network	현재 머신의 네임 해석(호스트명/IP) 캐시 조회는?	A) ip link B) getent hosts C) host -l D) route print	B
149	cs	문맥교환(context switch)의 직접적 원인은?	A) 디스크 조각 B) 프로세스 상태 전환(스케줄링) C) 파일 잠금 D) 네트워크 혼잡	B
150	vmware	vSAN iSCSI 타깃의 주 사용 사례는?	A) VMkernel 부팅 B) 외부 호스트의 블록 접근 제공 C) 오브젝트 삭제 D) FT 비활성화	B
151	linux	Ubuntu 버전 상세 정보 확인 명령은?	A) uname -v B) lsb_release -a C) cat /proc/cpuinfo D) who	B
